method,split,seed,episodes,success_rate,mean_edge_f1,mean_birth_f1,mean_death_f1,mean_graph_edit,mean_component_accuracy,mean_jam_f1,mean_safety_violation_rate,mean_chain_contact_rate,mean_pocket_contact_rate,mean_fixture_contact_rate,mean_wall_contact_rate,mean_final_progress,mean_final_y_error,mean_energy
conformal_graph_guard,actuator_limit_chain,0,6,0.00000,0.64526,0.39583,0.39120,0.15842,0.57292,1.00000,0.76389,0.00000,0.00000,0.75694,0.00347,0.11392,0.03869,16.23837
conformal_graph_guard,actuator_limit_chain,1,6,0.00000,0.53056,0.30498,0.65914,0.15842,0.25347,0.50000,0.76389,0.01389,0.00347,0.54514,0.00694,0.14034,0.11672,26.45087
conformal_graph_guard,actuator_limit_chain,2,6,0.00000,0.64062,0.54167,0.45544,0.14453,0.35417,0.66667,0.52431,0.15972,0.14930,0.48611,0.01042,0.35132,0.10640,18.56696
conformal_graph_guard,actuator_limit_chain,3,6,0.00000,0.70984,0.86748,0.23380,0.12023,0.14583,0.83333,0.66319,0.15625,0.14930,0.71528,0.01389,0.45931,0.12657,11.32081
conformal_graph_guard,actuator_limit_chain,4,6,0.00000,0.46979,0.59433,0.51435,0.13629,0.14930,0.83333,0.53125,0.00347,0.00347,0.53472,0.02083,0.54223,0.17745,29.01377
conformal_graph_guard,actuator_limit_chain,5,6,0.00000,0.39271,0.46238,0.57222,0.17622,0.17708,0.50000,0.67014,0.02431,0.00694,0.48611,0.01042,0.31266,0.08742,26.64190
conformal_graph_guard,actuator_limit_chain,6,6,0.00000,0.59039,0.70023,0.26794,0.14583,0.21875,0.83333,0.80903,0.01389,0.00694,0.80208,0.00694,0.34316,0.18526,21.02979
conformal_graph_guard,actuator_limit_chain,7,6,0.00000,0.56864,0.51736,0.33449,0.16319,0.38194,0.83333,0.80556,0.01042,0.00694,0.75000,0.00347,0.00000,0.08584,26.56221
conformal_graph_guard,combined_extreme_stress,0,6,0.16667,0.47204,0.42662,0.85296,0.15087,0.36458,0.66667,0.00000,0.04167,0.04167,0.03750,0.03542,0.17536,0.03051,68.03593
conformal_graph_guard,combined_extreme_stress,1,6,0.00000,0.51065,0.39294,0.92361,0.14540,0.37500,0.16667,0.17708,0.01042,0.00000,0.10069,0.02778,0.22226,0.09600,63.19922
conformal_graph_guard,combined_extreme_stress,2,6,0.00000,0.50463,0.45486,0.91956,0.13281,0.39583,0.50000,0.07986,0.00000,0.00000,0.06597,0.01042,0.00000,0.06512,59.56780
conformal_graph_guard,combined_extreme_stress,3,6,0.00000,0.42326,0.35787,0.85509,0.15061,0.28819,0.50000,0.19097,0.02083,0.01389,0.19097,0.01389,0.24359,0.08128,53.41938
conformal_graph_guard,combined_extreme_stress,4,6,0.00000,0.44062,0.39236,0.91782,0.14800,0.30903,0.50000,0.00000,0.00000,0.00000,0.05556,0.01736,0.00000,0.01610,69.55715
conformal_graph_guard,combined_extreme_stress,5,6,0.00000,0.64977,0.54803,0.93461,0.09679,0.47917,0.83333,0.06944,0.01042,0.00000,0.08333,0.02430,0.10922,0.15070,48.88955
conformal_graph_guard,combined_extreme_stress,6,6,0.00000,0.71933,0.65741,0.96180,0.06293,0.62847,1.00000,0.00000,0.00694,0.00347,0.02778,0.01389,0.17873,0.07187,48.11659
conformal_graph_guard,combined_extreme_stress,7,6,0.00000,0.71343,0.64178,0.93981,0.08073,0.60764,0.50000,0.00694,0.00000,0.00000,0.06944,0.00694,0.00000,0.01007,43.58252
conformal_graph_guard,combined_stress,0,6,0.16667,0.63586,0.66111,0.60741,0.10868,0.33333,0.50000,0.13542,0.34305,0.30208,0.14583,0.02083,0.62678,0.14855,14.32792
conformal_graph_guard,combined_stress,1,6,0.00000,0.77130,0.71759,0.86516,0.07378,0.60764,0.83333,0.23611,0.02778,0.02778,0.20139,0.01389,0.41524,0.15690,15.53814
conformal_graph_guard,combined_stress,2,6,0.16667,0.80977,0.78967,0.48180,0.10054,0.42115,0.50000,0.22917,0.46808,0.43302,0.17361,0.00347,0.62158,0.09430,16.92710
conformal_graph_guard,combined_stress,3,6,0.00000,0.47454,0.37732,0.77535,0.15451,0.20834,0.50000,0.35069,0.07639,0.04861,0.26389,0.00694,0.40769,0.08198,36.02146
conformal_graph_guard,combined_stress,4,6,0.00000,0.82060,0.56829,0.86158,0.07465,0.62847,1.00000,0.50000,0.01042,0.00694,0.33681,0.02431,0.44216,0.17031,20.54040
conformal_graph_guard,combined_stress,5,6,0.16667,0.72528,0.56528,0.86389,0.08898,0.47222,0.66667,0.22569,0.16250,0.13889,0.16667,0.00694,0.50595,0.14204,16.96999
conformal_graph_guard,combined_stress,6,6,0.00000,0.61389,0.53785,0.75000,0.11719,0.35069,0.52564,0.23264,0.19444,0.15278,0.12847,0.02430,0.56561,0.20464,18.56602
conformal_graph_guard,combined_stress,7,6,0.00000,0.70336,0.73148,0.33102,0.13021,0.29861,0.66667,0.51389,0.27778,0.26736,0.48958,0.00000,0.39185,0.07287,18.70562
conformal_graph_guard,contact_chain_transfer,0,6,0.00000,0.95521,0.90162,0.96644,0.01910,0.86458,0.83333,0.00000,0.04514,0.03472,0.00000,0.01042,0.37998,0.16921,11.82492
conformal_graph_guard,contact_chain_transfer,1,6,0.00000,0.84109,0.79167,0.97396,0.04557,0.77083,0.83333,0.00000,0.03819,0.02778,0.00000,0.00000,0.12295,0.02683,24.12244
conformal_graph_guard,contact_chain_transfer,2,6,0.16667,0.93788,0.91709,0.84533,0.03125,0.77273,0.83333,0.00000,0.15909,0.14773,0.00000,0.01042,0.35536,0.09621,10.94728
conformal_graph_guard,contact_chain_transfer,3,6,0.00000,0.84421,0.83565,0.78472,0.06033,0.63194,0.66667,0.00000,0.23611,0.21528,0.00000,0.00694,0.46184,0.08600,19.81038
conformal_graph_guard,contact_chain_transfer,4,6,0.00000,0.96875,0.90972,0.99653,0.01172,0.90625,1.00000,0.00000,0.00000,0.00000,0.00000,0.01042,0.18537,0.07880,11.38786
conformal_graph_guard,contact_chain_transfer,5,6,0.16667,0.77144,0.81763,0.69808,0.09009,0.51438,0.50000,0.00000,0.35813,0.31349,0.00000,0.00694,0.58666,0.08922,21.02992
conformal_graph_guard,contact_chain_transfer,6,6,0.16667,0.92245,0.90648,0.83819,0.03958,0.75208,0.66667,0.00000,0.20903,0.17014,0.00000,0.00347,0.37233,0.09186,11.65680
conformal_graph_guard,contact_chain_transfer,7,6,0.00000,0.71736,0.72106,0.78067,0.08724,0.51736,0.50000,0.00000,0.24306,0.21181,0.00000,0.01042,0.36154,0.12203,31.66516
conformal_graph_guard,contact_sensor_noise_burst,0,6,0.33333,0.80111,0.82731,0.38264,0.11727,0.30139,0.16667,0.00000,0.77569,0.68611,0.00000,0.00347,0.79334,0.06390,12.60593
conformal_graph_guard,contact_sensor_noise_burst,1,6,0.00000,0.68299,0.77083,0.29271,0.14843,0.10417,0.01075,0.00000,0.81944,0.76041,0.00000,0.00000,0.74069,0.02624,24.47423
conformal_graph_guard,contact_sensor_noise_burst,2,6,0.16667,0.82153,0.79537,0.56864,0.09271,0.39583,0.50000,0.11806,0.46458,0.42361,0.07986,0.01042,0.74371,0.11063,14.64366
conformal_graph_guard,contact_sensor_noise_burst,3,6,0.00000,0.74375,0.76620,0.55081,0.11154,0.34722,0.35294,0.00000,0.53125,0.48611,0.00000,0.00347,0.63717,0.03712,23.27227
conformal_graph_guard,contact_sensor_noise_burst,4,6,0.33333,0.70296,0.73958,0.46111,0.13247,0.20764,0.33333,0.13542,0.51528,0.43750,0.15972,0.00694,0.76919,0.05573,22.82457
conformal_graph_guard,contact_sensor_noise_burst,5,6,0.16667,0.71523,0.78240,0.45949,0.13090,0.26111,0.17647,0.00000,0.67430,0.60764,0.00347,0.00000,0.77977,0.05987,12.65111
